G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
3,305,7:00p ET,Milwaukee Bucks,1,0,108,97,2,1,W 2,
5,309,8:00p ET,Indiana Pacers,1,1,96,94,4,1,W 4,
8,316,7:00p ET,Detroit Pistons,1,0,107,103,6,2,W 2,
9,319,7:00p ET,Orlando Magic,1,0,98,93,7,2,W 3,
10,323,7:00p ET,Dallas Mavericks,0,0,102,105,7,3,L 1,
11,325,8:00p ET,Cleveland Cavaliers,1,0,91,78,8,3,W 1,
13,329,7:00p ET,Atlanta Hawks,0,0,102,106,9,4,L 1,
15,333,7:00p ET,New Orleans Pelicans,1,0,83,80,10,5,W 1,
16,335,7:00p ET,Miami Heat,1,0,107,86,11,5,W 2,
17,337,7:00p ET,Los Angeles Lakers,1,0,111,95,12,5,W 3,
18,339,7:00p ET,Denver Nuggets,1,0,119,89,13,5,W 4,
20,342,7:00p ET,Boston Celtics,1,2,133,132,14,6,W 1,
22,346,7:00p ET,Los Angeles Clippers,1,0,104,96,16,6,W 3,
23,348,6:00p ET,Utah Jazz,1,0,93,84,17,6,W 4,
24,350,7:00p ET,Minnesota Timberwolves,1,0,109,95,18,6,W 5,
26,355,6:00p ET,Phoenix Suns,0,0,92,104,19,7,L 1,
27,357,7:00p ET,Chicago Bulls,0,0,91,99,19,8,L 2,
29,361,7:00p ET,Boston Celtics,1,0,101,88,21,8,W 2,
35,7,7:00p ET,New York Knicks,1,0,101,91,24,11,W 2,
36,9,8:00p ET,Chicago Bulls,1,0,102,86,25,11,W 3,
38,13,7:00p ET,San Antonio Spurs,1,0,101,93,26,12,W 1,
40,16,7:00p ET,Brooklyn Nets,0,0,80,102,27,13,L 1,
42,19,2:00p ET,Philadelphia 76ers,1,0,111,76,29,13,W 2,
43,21,8:00p ET,Oklahoma City Thunder,0,1,103,105,29,14,L 1,
48,31,7:00p ET,Toronto Raptors,0,1,116,120,31,17,L 2,
49,33,7:00p ET,Charlotte Hornets,0,0,88,92,31,18,L 3,
52,38,7:00p ET,Brooklyn Nets,1,0,114,77,32,20,W 1,
53,40,7:00p ET,Orlando Magic,1,0,96,80,33,20,W 2,
55,51,8:00p ET,Cleveland Cavaliers,0,0,89,127,33,22,L 2,
57,55,7:00p ET,Golden State Warriors,0,0,107,114,33,24,L 4,
60,59,7:00p ET,Detroit Pistons,1,0,99,95,34,26,W 1,
62,65,7:00p ET,Miami Heat,1,0,99,97,35,27,W 1,
65,71,7:00p ET,Memphis Grizzlies,1,0,107,87,37,28,W 2,
66,73,7:00p ET,Sacramento Kings,1,0,113,97,38,28,W 3,
67,75,7:00p ET,Portland Trail Blazers,1,0,105,97,39,28,W 4,
72,84,7:00p ET,Indiana Pacers,0,0,101,103,40,32,L 4,
73,86,7:00p ET,Charlotte Hornets,1,2,110,107,41,32,W 1,
74,88,12:30p ET,Houston Rockets,0,0,91,99,41,33,L 1,
75,91,7:00p ET,Philadelphia 76ers,1,0,106,93,42,33,W 1,
76,93,7:00p ET,New York Knicks,1,0,101,87,43,33,W 2,
80,102,6:00p ET,Atlanta Hawks,1,0,108,99,46,34,W 1,
